KEY,FREQ,REF_AREA,ADJUSTMENT,FVC_REP_SECTOR,FVC_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,FVC_ORI_SECTOR,CURRENCY_TRANS,BS_SUFFIX
FVC.Q.IT.N.R.A10.A.4.U6.2271.ZZ.Z01.E,Q,IT,N,R,A10,A,4,U6,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.1.U2.2271.ZZ.Z01.E,Q,IT,N,R,A10,F,1,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.4.U2.2271.ZZ.Z01.E,Q,IT,N,R,A10,F,4,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.4.U4.00NB.ZZ.Z01.E,Q,IT,N,R,A10,F,4,U4,00NB,ZZ,Z01,E
FVC.Q.IT.N.R.A10.F.4.U6.2271.ZZ.Z01.E,Q,IT,N,R,A10,F,4,U6,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A10.K.1.U5.1000.ZZ.Z01.E,Q,IT,N,R,A10,K,1,U5,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A20.A.4.U2.2240.E1.Z01.E,Q,U2,N,T,A20,A,4,U2,2240,E1,Z01,E
FVC.Q.U2.N.T.A20.A.4.U4.0000.00.Z01.E,Q,U2,N,T,A20,A,4,U4,0000,00,Z01,E
FVC.Q.U2.N.T.A20.A.I.A1.0000.00.Z01.A,Q,U2,N,T,A20,A,I,A1,0000,00,Z01,A
FVC.Q.U2.N.T.A20.A.I.A1.0000.00.Z01.E,Q,U2,N,T,A20,A,I,A1,0000,00,Z01,E
FVC.Q.U2.N.T.A20.A.I.A1.0000.E2.Z01.A,Q,U2,N,T,A20,A,I,A1,0000,E2,Z01,A
FVC.Q.U2.N.T.A20.A.I.A1.0000.E3.Z01.E,Q,U2,N,T,A20,A,I,A1,0000,E3,Z01,E
FVC.Q.U2.N.T.A20.A.I.U2.1000.00.Z01.E,Q,U2,N,T,A20,A,I,U2,1000,00,Z01,E
FVC.Q.LU.N.S.T00.A.1.A1.0000.ZZ.Z01.E,Q,LU,N,S,T00,A,1,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.T.A10.A.4.U4.0000.ZZ.Z01.E,Q,LU,N,T,A10,A,4,U4,0000,ZZ,Z01,E
FVC.Q.LU.N.T.A10.F.1.U4.0000.ZZ.Z01.E,Q,LU,N,T,A10,F,1,U4,0000,ZZ,Z01,E
FVC.Q.LU.N.T.A10.F.4.A1.0000.ZZ.Z01.E,Q,LU,N,T,A10,F,4,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.T.A10.F.4.U2.1000.ZZ.Z01.E,Q,LU,N,T,A10,F,4,U2,1000,ZZ,Z01,E
FVC.Q.LU.N.T.A10.F.4.U2.2271.ZZ.Z01.E,Q,LU,N,T,A10,F,4,U2,2271,ZZ,Z01,E
FVC.Q.LU.N.T.A20.A.1.U2.2200.00.Z01.E,Q,LU,N,T,A20,A,1,U2,2200,00,Z01,E
FVC.Q.LU.N.O.A20.A.1.U5.2250.E1.Z01.E,Q,LU,N,O,A20,A,1,U5,2250,E1,Z01,E
FVC.Q.LU.N.O.A20.A.4.A1.0000.R0.Z01.E,Q,LU,N,O,A20,A,4,A1,0000,R0,Z01,E
FVC.Q.LU.N.O.A20.A.4.U2.2240.E1.Z01.E,Q,LU,N,O,A20,A,4,U2,2240,E1,Z01,E
FVC.Q.U2.N.T.A20.A.I.U2.2220.00.Z01.E,Q,U2,N,T,A20,A,I,U2,2220,00,Z01,E
FVC.Q.U2.N.T.A20.A.I.U2.2250.00.Z01.E,Q,U2,N,T,A20,A,I,U2,2250,00,Z01,E
FVC.Q.U2.N.T.A20.A.I.U5.2250.E1.Z01.E,Q,U2,N,T,A20,A,I,U5,2250,E1,Z01,E
FVC.Q.U2.N.T.A20.F.1.U2.2240.E1.Z01.E,Q,U2,N,T,A20,F,1,U2,2240,E1,Z01,E
FVC.Q.U2.N.T.A20.J.1.U6.2240.E1.Z01.E,Q,U2,N,T,A20,J,1,U6,2240,E1,Z01,E
FVC.Q.IT.N.R.A10.K.4.U4.00NB.ZZ.Z01.E,Q,IT,N,R,A10,K,4,U4,00NB,ZZ,Z01,E
FVC.Q.IT.N.R.A10.K.4.U5.2271.ZZ.Z01.E,Q,IT,N,R,A10,K,4,U5,2271,ZZ,Z01,E
FVC.Q.IT.N.R.A20.A.1.U2.1000.E1.Z01.E,Q,IT,N,R,A20,A,1,U2,1000,E1,Z01,E
FVC.Q.IT.N.R.A20.A.1.U2.2200.00.Z01.E,Q,IT,N,R,A20,A,1,U2,2200,00,Z01,E
FVC.Q.IT.N.R.A20.A.1.U2.2240.E1.Z01.E,Q,IT,N,R,A20,A,1,U2,2240,E1,Z01,E
FVC.Q.IT.N.R.A20.A.1.U2.2250.00.Z01.E,Q,IT,N,R,A20,A,1,U2,2250,00,Z01,E
FVC.Q.IT.N.R.A20.A.4.A1.0000.E0.Z01.E,Q,IT,N,R,A20,A,4,A1,0000,E0,Z01,E
FVC.Q.IT.N.R.A20.A.4.U2.2260.00.Z01.E,Q,IT,N,R,A20,A,4,U2,2260,00,Z01,E
FVC.Q.IT.N.R.A20.A.I.A1.0000.E1.Z01.A,Q,IT,N,R,A20,A,I,A1,0000,E1,Z01,A
FVC.Q.IT.N.R.A30.A.1.U2.2000.ZZ.Z01.E,Q,IT,N,R,A30,A,1,U2,2000,ZZ,Z01,E
